Frm,Track,xc,yc,w,h,Velocity(kmph),,
1,12,3469,1912,174,98,0,,
1,6,2477,456,88,50,0,,
1,13,1826,1383,36,94,0,,
1,4,2391,391,82,50,0,,
1,8,2526,643,76,63,0,,
1,10,2692,660,90,62,0,,
1,14,1441,1364,97,41,0,,
1,11,2302,601,99,133,0,,
1,3,2067,994,137,72,0,,
1,7,2825,648,83,60,0,,
1,1,2373,1324,95,128,0,,
1,9,2437,516,75,63,0,,
1,2,1703,854,133,71,0,,
1,5,2491,404,86,49,0,,
2,12,3468,1911,175,97,4.108946047,,
2,6,2477,456,88,50,0,,
2,13,1826,1381,37,92,5.810927227,,
2,4,2392,391,82,51,2.905463614,,
2,8,2526,643,76,63,0,,
2,10,2692,660,89,62,0,,
2,14,1449,1367,95,40,24.824292,,
2,11,2302,601,100,134,0,,
2,3,2076,994,136,72,26.14917252,,
2,7,2825,648,83,61,0,,
2,1,2376,1331,94,128,22.12735165,,
2,9,2437,516,74,62,0,,
2,2,1713,854,134,71,29.05463614,,
2,5,2491,404,86,49,0,,
3,12,3469,1911,174,97,2.944212607,,
3,6,2477,456,88,50,0,,
3,13,1827,1377,36,92,11.9775862,,
3,4,2392,391,81,51,0.042212319,,
3,8,2526,643,76,64,0,,
3,10,2692,660,90,62,0,,
3,15,3634,648,112,46,0,,
3,14,1459,1369,100,40,29.77706256,,
3,11,2304,601,98,134,5.769030747,,
3,3,2088,994,137,71,34.99409535,,
3,7,2826,648,83,61,2.884515374,,
3,1,2378,1338,96,127,21.32106834,,
3,9,2436,516,73,63,2.884515374,,
3,2,1724,854,133,71,32.1517923,,
3,5,2492,404,86,49,2.884515374,,
4,12,3468,1911,175,98,2.727989321,,
4,6,2477,456,87,50,0,,
4,13,1827,1373,36,92,12.74722358,,
4,4,2392,391,82,51,-0.469079231,,
4,8,2526,643,76,65,0,,
4,10,2692,660,90,62,0,,
4,15,3634,648,111,45,0,,
4,14,1466,1371,101,42,23.5239434,,
4,11,2305,603,96,136,7.353384629,,
4,3,2101,994,136,71,38.89200765,,
4,7,2825,648,83,61,3.391367531,,
4,1,2381,1347,96,129,26.45146189,,
4,9,2435,516,71,62,3.391367531,,
4,2,1736,854,133,70,35.03156089,,
4,5,2492,404,86,50,0.974057174,,
5,12,3469,1911,176,97,2.68220976,,
5,6,2477,456,87,50,0,,
5,13,1828,1367,37,91,17.10052293,,
5,4,2392,391,82,51,-0.573938262,,
5,8,2526,643,76,65,0,,
5,10,2692,660,90,62,0,,
5,15,3634,648,112,45,0,,
5,14,1475,1374,104,44,25.88225513,,
5,11,2306,604,94,137,6.071132914,,
5,3,2114,994,136,71,39.95977562,,
5,7,2826,648,83,61,3.493881035,,
5,1,2384,1356,97,129,28.12338374,,
5,9,2435,516,70,62,1.459789125,,
5,2,1748,854,134,69,35.89195632,,
5,5,2491,404,86,50,2.329325377,,
6,12,3468,1911,176,97,2.679471902,,
6,6,2477,456,87,50,0,,
6,13,1828,1362,37,91,16.99813349,,
6,4,2392,391,82,51,-0.577097867,,
6,8,2526,643,76,65,0,,
6,10,2691,660,90,62,1.745007013,,
6,15,3635,648,112,45,2.417310357,,
6,14,1483,1376,102,44,24.78138081,,
6,11,2306,605,93,137,4.702046167,,
6,3,2126,994,135,71,38.50097005,,
6,7,2825,648,83,61,3.495611531,,
6,1,2387,1363,96,128,25.49540046,,
6,9,2435,516,70,63,0.586527766,,
6,2,1761,855,134,69,37.98529134,,
6,5,2491,404,86,50,1.167168796,,
6,16,1474,1372,43,43,0,,
7,12,3468,1911,176,97,1.165025317,,
7,6,2477,456,87,50,0,,
7,13,1828,1359,37,93,13.78322129,,
7,4,2392,391,83,51,-0.550788399,,
7,8,2526,643,76,65,0,,
7,10,2691,660,90,62,1.108658146,,
7,15,3635,648,112,46,1.164555657,,
7,14,1491,1378,102,43,24.21990461,,
7,11,2307,604,94,136,4.594652353,,
7,3,2138,994,136,72,37.63461319,,
7,7,2825,648,84,62,1.943957741,,
7,1,2390,1371,95,130,25.49809004,,
7,9,2435,516,70,62,0.142020272,,
7,2,1773,855,133,69,37.39976115,,
7,5,2491,404,86,50,0.556973969,,
7,16,1480,1374,40,44,18.37576536,,
8,12,3468,1911,177,97,0.311249007,,
8,6,2477,456,87,50,0,,
8,13,1828,1356,37,93,11.87737848,,
8,4,2392,392,82,51,0.835369573,,
8,8,2526,643,76,65,0,,
8,10,2691,660,90,61,0.727424241,,
8,15,3634,648,111,45,2.328442736,,
8,14,1498,1379,102,42,22.32290253,,
8,11,2308,605,95,138,4.519839879,,
8,3,2150,994,136,72,37.07299254,,
8,7,2825,648,83,62,1.0419515,,
8,1,2393,1379,94,130,25.47731044,,
8,9,2435,516,71,62,-0.101310725,,
8,2,1785,856,132,69,37.05337955,,
8,5,2491,404,86,50,0.209793034,,
8,16,1485,1375,38,43,14.97517432,,
9,12,3468,1911,176,97,-0.19545161,,
9,6,2477,456,87,49,0,,
9,13,1829,1352,37,93,12.04037915,,
9,4,2392,392,82,51,0.488525638,,
9,8,2526,643,76,65,0,,
9,10,2691,660,90,62,0.484359469,,
9,15,3634,648,111,45,1.386983772,,
9,14,1507,1382,101,40,24.10122236,,
9,11,2309,606,94,137,4.464775009,,
9,3,2163,995,134,72,37.94601114,,
9,7,2825,648,83,61,0.48625637,,
9,1,2395,1387,94,128,25.08667118,,
9,9,2435,516,70,62,-0.240295168,,
9,2,1797,856,133,70,36.74435652,,
9,5,2491,404,86,50,0.001370068,,
9,16,1497,1376,42,44,31.10829028,,
10,12,3468,1911,176,97,-0.505841448,,
10,6,2477,456,87,50,0,,
10,13,1830,1349,38,95,11.08181147,,
10,4,2392,392,82,51,0.261583596,,
10,18,2066,1010,356,103,0,,
10,8,2526,643,75,65,0,,
10,10,2692,660,90,62,1.424359455,,
