Track,Srno,Initial Position [x y],Final Position[x y],Velocity,Angle,Direction
13,1.0,[1826 1383],[1828 1367],0.0,82.8749836510982,N
13,2.0,[1828 1362],[1830 1349],16.99813349,81.2538377374448,N
13,3.0,[1831 1346],[1834 1328],10.41898537,80.53767779197439,N
13,4.0,[1835 1324],[1840 1311],12.63749347,68.96248897457819,N
13,5.0,[1841 1306],[1846 1288],12.47020468,74.47588900324574,N
13,6.0,[1847 1284],[1854 1267],13.3402577,67.61986494804043,N
13,7.0,[1856 1263],[1863 1245],13.84336758,68.74949449286676,N
13,8.0,[1864 1240],[1874 1223],14.58686693,59.53445508054013,NE
13,9.0,[1877 1218],[1888 1202],15.20200972,55.4914770123316,NE
13,10.0,[1892 1196],[1906 1177],15.96436129,53.615648184164115,NE
13,11.0,[1911 1172],[1927 1157],17.71042079,43.15238973400541,NE
13,12.0,[1931 1153],[1949 1138],17.26271236,39.80557109226519,NE
13,13.0,[1954 1133],[1975 1118],18.10799922,35.53767779197438,NE
13,14.0,[1980 1114],[2003 1101],18.95561677,29.475889003245747,NE
13,15.0,[2009 1097],[2034 1084],19.92040906,27.474431626277134,NE
13,16.0,[2040 1082],[2068 1071],20.64775929,21.44773632710535,E
13,17.0,[2075 1068],[2103 1059],22.04080556,17.81888891452278,E
13,18.0,[2110 1057],[2142 1049],22.24929234,14.036243467926479,E
13,19.0,[2150 1048],[2182 1044],23.8008972,7.125016348901798,E
13,20.0,[2191 1042],[2226 1039],24.78584758,4.899092453787765,E
13,21.0,[2234 1039],[2271 1037],25.53547862,3.0940580589171116,E
13,22.0,[2279 1037],[2317 1036],26.49397894,1.507435758774968,E
13,23.0,[2326 1035],[2364 1036],27.59798086,-1.507435758774968,E
13,24.0,[2374 1036],[2413 1037],28.43701093,-1.4688007143858246,E
13,25.0,[2423 1037],[2465 1036],29.08629523,1.3639275316029187,E
13,26.0,[2475 1036],[2518 1037],30.26007238,-1.3322198538696388,E
13,27.0,[2528 1036],[2572 1037],31.13580267,-1.3019526725788753,E
13,28.0,[2583 1036],[2628 1035],32.29227125,1.273030020056711,E
13,29.0,[2639 1034],[2686 1033],33.08616968,1.2188752351312977,E
13,30.0,[2697 1033],[2745 1031],33.99179661,2.3859440303888126,E
13,31.0,[2756 1030],[2804 1027],34.73232191,3.576334374997351,E
13,32.0,[2817 1025],[2867 1022],35.94687213,3.4336303624505224,E
13,33.0,[2879 1022],[2930 1019],36.65158912,3.3664606634298013,E
13,34.0,[2943 1018],[2993 1015],37.69520603,3.4336303624505224,E
13,35.0,[3006 1014],[3061 1009],37.61375655,5.194428907734806,E
13,36.0,[3074 1009],[3127 1006],39.29145711,3.23970029610213,E
13,37.0,[3141 1006],[3197 1003],39.80279041,3.0664855011258934,E
13,38.0,[3210 1003],[3268 1000],40.44137313,2.96093613416375,E
13,39.0,[3282 1000],[3339  998],41.881016,2.009553813021139,E
13,40.0,[3354  997],[3413  998],42.54115243,-0.9710219310791666,E
13,41.0,[3427  997],[3485  995],43.04003741,1.9749340108819766,E
13,42.0,[3499  995],[3559  992],42.7608958,2.8624052261117474,E
13,43.0,[3575  992],[3637  992],44.06468126,0.0,E
13,44.0,[3652  992],[3712  991],45.00482913,0.9548412538721887,E
13,45.0,[3728  991],[3790  989],45.13326485,1.8476102659945959,E
13,46.0,[3801  990],[3831  991],43.37684678,-1.9091524329963763,E
